i_pid,i_id_pers,i_id_session,dt_date_utc,r_lat,r_lon,geom_2154
17538,8,0,2019-07-08 05:37:41+02,45.17374,5.72894166666667,01010000206A080000E640D4B632E72B41EDE0FBBB18A15841
17539,8,0,2019-07-08 05:37:46+02,45.1737433333333,5.72894166666667,01010000206A08000069A347B032E72B41F59CA9D318A15841
17540,8,0,2019-07-08 05:37:51+02,45.173745,5.72894,01010000206A08000005FA026A32E72B417D5C36DF18A15841
17541,8,0,2019-07-08 05:37:56+02,45.1737466666667,5.72894,01010000206A08000068ABBC6632E72B41823A0DEB18A15841
17542,8,0,2019-07-08 05:38:01+02,45.1737483333333,5.72894333333333,01010000206A080000941173E932E72B41725578F718A15841
17543,8,0,2019-07-08 05:38:06+02,45.173745,5.72895166666667,01010000206A0800008A74F73E34E72B41F5313DE118A15841
17544,8,0,2019-07-08 05:38:11+02,45.1737466666667,5.72895,01010000206A08000080CAB2F833E72B4171F1C9EC18A15841
17545,8,0,2019-07-08 05:38:16+02,45.1737483333333,5.72895333333333,01010000206A080000DA2F697B34E72B41840C35F918A15841
17546,8,0,2019-07-08 05:38:21+02,45.1737516666667,5.72895833333333,01010000206A080000D69ED73D35E72B413924C11119A15841
17547,8,0,2019-07-08 05:38:26+02,45.1737533333333,5.728965,01010000206A080000A1B68A4636E72B41A17CC01E19A15841
17548,8,0,2019-07-08 05:38:31+02,45.1737516666667,5.72896833333333,01010000206A0800005EBBCDCF36E72B41E9DB7D1319A15841
17549,8,0,2019-07-08 05:38:36+02,45.17375,5.72897166666667,01010000206A0800009EC0105937E72B413B3B3B0819A15841
17550,8,0,2019-07-08 05:38:41+02,45.1737533333333,5.72897333333333,01010000206A0800005B78829537E72B41E615332019A15841
17551,8,0,2019-07-08 05:38:46+02,45.173755,5.72897666666667,01010000206A080000BCDA381838E72B414A319E2C19A15841
